ARI	NMI	tag	dim	alpha	lr	k	topN	lambda_recon	mask_ratio	epochs	pca_dim	refine_k	npz	metrics
0.4854852047470382	0.6190939060039149	d80_a050_lr001_k12_top36_l016_m010_e500	80	0.50	0.0010	12	36	0.16	0.10	500	20	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a050_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a050_lr001_k12_top36_l016_m010_e500_mclust_p20_rk3.mclust.metrics.txt
0.5698310821601718	0.6941225723665868	d80_a050_lr001_k12_top36_l016_m010_e500	80	0.50	0.0010	12	36	0.16	0.10	500	24	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a050_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a050_lr001_k12_top36_l016_m010_e500_mclust_p24_rk0.mclust.metrics.txt
0.49720666376364947	0.6318391845868115	d80_a050_lr001_k12_top36_l016_m010_e500	80	0.50	0.0010	12	36	0.16	0.10	500	24	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a050_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a050_lr001_k12_top36_l016_m010_e500_mclust_p24_rk3.mclust.metrics.txt
0.6008930730077041	0.7204047900442493	d80_a050_lr001_k12_top36_l016_m010_e500	80	0.50	0.0010	12	36	0.16	0.10	500	28	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a050_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a050_lr001_k12_top36_l016_m010_e500_mclust_p28_rk0.mclust.metrics.txt
0.5124362913864359	0.6430363757317542	d80_a050_lr001_k12_top36_l016_m010_e500	80	0.50	0.0010	12	36	0.16	0.10	500	28	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a050_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a050_lr001_k12_top36_l016_m010_e500_mclust_p28_rk3.mclust.metrics.txt
0.5118582005510063	0.6592011252594938	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	8	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p8_rk0.mclust.metrics.txt
0.47942086700368874	0.6262579146284412	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	8	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p8_rk3.mclust.metrics.txt
0.5576295333890888	0.6925778872884885	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	10	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p10_rk0.mclust.metrics.txt
0.4932107979718814	0.6396853641137545	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	10	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p10_rk3.mclust.metrics.txt
0.5878893145999939	0.7036148990723027	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	12	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p12_rk0.mclust.metrics.txt
