npz	pca_dim	seed	score	upper_cluster	upper_purity	upper_recall	lower_cluster	lower_purity	lower_recall	both_cluster	both_purity	both_recall
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	7	0.32371464386576143	17	0.09668508287292818	0.7954545454545454	17	0.1712707182320442	0.7948717948717948	17	0.26795580110497236	0.7950819672131147
S2_Hpca_v2.augK2_d96_for_cluster.npz	64	5	0.32367517856392214	13	0.1008174386920981	0.8409090909090909	13	0.16348773841961853	0.7692307692307693	13	0.26430517711171664	0.7950819672131147
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	14	0.3236351001938636	24	0.09340659340659341	0.7727272727272727	1	0.16267942583732056	0.4358974358974359	24	0.19505494505494506	0.5819672131147541
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	50	4	0.3232106917188864	15	0.1210762331838565	0.6136363636363636	15	0.2600896860986547	0.7435897435897436	15	0.3811659192825112	0.6967213114754098
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	15	0.32273008923754537	6	0.09880239520958084	0.75	19	0.16113744075829384	0.4358974358974359	6	0.20958083832335328	0.5737704918032787
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	4	0.32267015600524457	3	0.09866666666666667	0.8409090909090909	3	0.16266666666666665	0.782051282051282	3	0.2613333333333333	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	6	0.322121323906364	5	0.1002710027100271	0.8409090909090909	5	0.16531165311653118	0.782051282051282	5	0.26558265582655827	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	50	12	0.3219874404959957	24	0.12669683257918551	0.6363636363636364	24	0.25339366515837103	0.717948717948718	24	0.38009049773755654	0.6885245901639344
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	36	7	0.32189892212532145	21	0.10030395136778116	0.75	21	0.182370820668693	0.7692307692307693	21	0.2826747720364742	0.7622950819672131
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	16	0.32188373020414296	17	0.10734463276836158	0.8636363636363636	17	0.16101694915254236	0.7307692307692307	17	0.268361581920904	0.7786885245901639
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	7	0.32178465073037	22	0.10410958904109589	0.8636363636363636	22	0.16164383561643836	0.7564102564102564	22	0.26575342465753427	0.7950819672131147
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	36	18	0.32168456623218383	2	0.1	0.75	2	0.18181818181818182	0.7692307692307693	2	0.2818181818181818	0.7622950819672131
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	15	0.3215611963623471	17	0.09946236559139784	0.8409090909090909	17	0.1639784946236559	0.782051282051282	17	0.26344086021505375	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	7	0.3214298210864677	7	0.09973045822102426	0.8409090909090909	7	0.16442048517520216	0.782051282051282	7	0.2641509433962264	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	36	3	0.3213438691990002	11	0.09943181818181818	0.7954545454545454	11	0.17045454545454544	0.7692307692307693	11	0.26988636363636365	0.7786885245901639
S2_Hpca_v2.augK2_d96_for_cluster.npz	64	14	0.3204728650484757	24	0.10303030303030303	0.7727272727272727	24	0.1787878787878788	0.7564102564102564	24	0.2818181818181818	0.7622950819672131
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	36	16	0.3204192337587188	24	0.10315186246418338	0.8181818181818182	24	0.166189111747851	0.7435897435897436	24	0.2693409742120344	0.7704918032786885
S2_Hpca_v2.augK2_d96_for_cluster.npz	64	3	0.3202685766993723	17	0.10119047619047619	0.7727272727272727	17	0.17261904761904762	0.7435897435897436	17	0.27380952380952384	0.7540983606557377
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	12	0.32002947963291106	9	0.09162303664921466	0.7954545454545454	9	0.1649214659685864	0.8076923076923077	9	0.25654450261780104	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	0	0.32002947963291106	24	0.09162303664921466	0.7954545454545454	24	0.1649214659685864	0.8076923076923077	24	0.25654450261780104	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	5	0.32002947963291106	3	0.09162303664921466	0.7954545454545454	3	0.1649214659685864	0.8076923076923077	3	0.25654450261780104	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	14	0.32002947963291106	5	0.09162303664921466	0.7954545454545454	5	0.1649214659685864	0.8076923076923077	5	0.25654450261780104	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	18	0.3197040256947425	13	0.09138381201044386	0.7954545454545454	13	0.16449086161879894	0.8076923076923077	13	0.2558746736292428	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	4	0.3192037775255639	2	0.09973753280839895	0.8636363636363636	2	0.16272965879265092	0.7948717948717948	2	0.26246719160104987	0.819672131147541
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	36	19	0.318475766102707	17	0.09722222222222222	0.7954545454545454	17	0.16666666666666666	0.7692307692307693	17	0.2638888888888889	0.7786885245901639
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	2	0.31843195802460617	19	0.09259259259259259	0.7954545454545454	19	0.164021164021164	0.7948717948717948	19	0.2566137566137566	0.7950819672131147
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	4	0.3181036732054871	15	0.09234828496042216	0.7954545454545454	15	0.16358839050131926	0.7948717948717948	15	0.2559366754617414	0.7950819672131147
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	3	0.3181036732054871	7	0.09234828496042216	0.7954545454545454	7	0.16358839050131926	0.7948717948717948	7	0.2559366754617414	0.7950819672131147
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	15	0.31777691776807465	0	0.09210526315789473	0.7954545454545454	0	0.1631578947368421	0.7948717948717948	0	0.25526315789473686	0.7950819672131147
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	36	14	0.3176611004363125	0	0.09880239520958084	0.75	0	0.17664670658682635	0.7564102564102564	0	0.2754491017964072	0.7540983606557377
S2_Hpca_v2.augK2_d96_for_cluster.npz	18	15	0.3176553783306945	25	0.15492957746478872	0.5	25	0.28169014084507044	0.5128205128205128	25	0.43661971830985913	0.5081967213114754
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	36	6	0.3175200317675287	19	0.09937888198757763	0.7272727272727273	19	0.18322981366459629	0.7564102564102564	19	0.2826086956521739	0.7459016393442623
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	13	0.31745168094528164	1	0.09186351706036745	0.7954545454545454	1	0.16272965879265092	0.7948717948717948	1	0.2545931758530184	0.7950819672131147
